offer_id,offer_name,family,parent_id_hint,description,suits_size,needs_connectivity,is_mobility,is_security,is_multisite,is_b2b,monthly_price_tnd,strong_sectors,notes
mobile_forfait_business_priv_plus,Business Privilège Plus,mobile,101,"Forfait mobile business avec appels et internet en illimité, smartphones et tablettes subventionnés, offres sur mesure pour les entreprises.",,medium,FALSE,FALSE,FALSE,TRUE,,,
mobile_forfait_business_priv_pro,Business Privilège Pro,mobile,101,"Forfait mobile professionnel haut de gamme avec appels illimités business, familia business et option network pour les entreprises exigeantes.",,medium,FALSE,FALSE,FALSE,TRUE,,,
mobile_forfait_business_progress,Business Progress,mobile,101,"Forfait mobile entreprise flexible avec engagement, appels et data, adapté aux petites et moyennes structures.",,low,FALSE,FALSE,FALSE,TRUE,,,
mobile_forfait_business_classic,Business Classic,mobile,101,Forfait mobile business d'entrée de gamme pour la communication professionnelle de base.,,low,FALSE,FALSE,FALSE,TRUE,,,
mobile_forfait_business_pro,Business Pro,mobile,101,Forfait mobile professionnel avec voix et data pour les entreprises.,,low,FALSE,FALSE,FALSE,TRUE,,,
mobile_forfait_business_control,Business Control,mobile,101,Forfait mobile business avec maitrise et controle des depenses de communication.,,low,FALSE,FALSE,FALSE,TRUE,,,
mobile_data_sim_gprs,SIM Data GPRS,mobile_data,103,"SIM Data avec le forfait internet de votre choix, connexion data mobile pour appareils et objets connectes.",,medium,FALSE,FALSE,FALSE,TRUE,,,
mobile_data_postpaid_dongle,Postpaid Dongle B2B / Cle 4G,mobile_data,103,"Cle 4G et SIM Data pour un confort de connexion mobile, plusieurs packs data, facture unique.",,medium,FALSE,FALSE,FALSE,TRUE,,,
mobile_sms_printer,Offre SMS Printer,mobile,101,Solution d'envoi de SMS professionnels en masse pour la communication et le marketing entreprise.,,low,FALSE,FALSE,FALSE,TRUE,,,
mobile_4g_box_pro,4G Box Pro,mobile_data,105,"Box 4G facile a installer avec plusieurs packs data et une facture unique, internet sans ligne fixe.",solo,medium,FALSE,FALSE,FALSE,TRUE,,,
